player,x,y,cluster,team,position
Joelinton,1.9501597,5.310629,0,Newcastle Utd,"MF,FW"
John McGinn,1.273493,6.219619,0,Aston Villa,"MF,FW"
John Stones,4.8044,7.8617115,1,Manchester City,"DF,MF"
Jonny Evans,6.2847567,6.1576777,1,Manchester Utd,DF
Jordan Ayew,5.3250957,9.018183,1,Crystal Palace,"FW,MF"
Jordan Pickford,9.949169,6.2380524,0,Everton,GK
Jorge Cuenca,6.7994523,8.523688,1,Fulham,DF
Jorginho,5.829707,6.345704,1,Arsenal,MF
Joshua Acheampong,7.042584,9.336422,1,Chelsea,DF
Joshua King,6.524344,9.659786,1,Fulham,MF
Joshua Zirkzee,2.6577003,8.833623,2,Manchester Utd,"FW,MF"
José Sá,9.778,6.406355,0,Wolves,GK
Jota Silva,2.8340673,8.650493,2,Nott'ham Forest,"FW,MF"
João Félix,3.7962825,9.027781,1,Chelsea,"FW,MF"
João Gomes,1.4421273,4.4249,0,Wolves,MF
João Pedro,0.13275519,8.274666,2,Brighton,"FW,MF"
Joël Veltman,3.4686763,5.722134,0,Brighton,DF
Joško Gvardiol,1.2419361,4.579203,0,Manchester City,DF
Julian Araujo,6.3170743,8.956032,1,Bournemouth,DF
Julio Enciso,3.716104,7.846777,2,Ipswich Town,"MF,FW"
Julio Soler,7.748257,8.478975,1,Bournemouth,"DF,FW"
Jurriën Timber,1.7001655,5.3131013,0,Arsenal,DF
Justin Devenny,4.2979913,7.999803,1,Crystal Palace,MF
Justin Kluivert,-0.2706464,7.508159,2,Bournemouth,MF
Jáder Durán,3.0717916,9.296927,2,Aston Villa,FW
Jørgen Strand Larsen,0.8040856,8.749764,2,Wolves,FW
Kaelan Casey,7.523007,9.224273,1,West Ham,DF
Kai Havertz,0.9549813,8.72488,2,Arsenal,"FW,MF"
Kalvin Phillips,3.808814,5.9134827,1,Ipswich Town,MF
Kamaldeen Sulemana,3.3241332,7.443304,2,Southampton,"FW,MF"
Kaoru Mitoma,-0.17094308,7.908064,2,Brighton,"FW,MF"
Kasey McAteer,3.7002306,7.4167795,1,Leicester City,FW
Keane Lewis-Potter,0.88670415,4.836895,0,Brentford,"DF,FW"
Kenny Tete,2.979049,5.6778936,0,Fulham,DF
Kepa Arrizabalaga,9.969554,6.001572,0,Bournemouth,GK
Kevin Danso,5.2419915,5.899727,1,Tottenham,DF
Kevin De Bruyne,0.28457355,6.88535,2,Manchester City,"MF,FW"
Kevin Schade,0.50686353,8.3058405,2,Brentford,FW
Kieran Tierney,3.4420621,8.61277,1,Arsenal,"DF,FW"
Kieran Trippier,3.4461093,6.2670484,0,Newcastle Utd,DF
Kiernan Dewsbury-Hall,5.679403,8.688061,1,Chelsea,"MF,FW"
Kim Jisoo,7.6106586,8.816838,1,Brentford,DF
Kobbie Mainoo,2.7268825,6.1578946,0,Manchester Utd,MF
Konstantinos Mavropanos,3.1740763,4.4019847,0,West Ham,DF
Kosta Nedeljković,7.7907534,8.927914,1,Aston Villa,DF
Kostas Tsimikas,3.5936096,6.4302473,1,Liverpool,DF
Kristoffer Ajer,5.025198,5.567807,1,Brentford,DF
Kyle Walker,4.051512,5.7405825,1,Manchester City,DF
Kyle Walker-Peters,1.1151896,5.060028,0,Southampton,DF
Lamare Bogarde,6.3799644,9.121174,1,Aston Villa,"DF,MF"
Leandro Trossard,-0.28110343,7.917222,2,Arsenal,FW
Leif Davis,1.2070272,5.5420704,0,Ipswich Town,DF
Leny Yoro,4.02955,6.2763853,1,Manchester Utd,DF
Leon Bailey,4.111918,8.388592,2,Aston Villa,"FW,MF"
Lesley Ugochukwu,3.4593902,6.11333,0,Southampton,MF
Levi Colwill,2.5601726,3.4385207,0,Chelsea,DF
Lewis Cook,1.2870296,5.5138144,0,Bournemouth,"MF,DF"
Lewis Dunk,3.3150804,4.0463295,0,Brighton,DF
Lewis Hall,1.2621329,5.4036674,0,Newcastle Utd,DF
Lewis Miley,4.521009,9.149946,1,Newcastle Utd,MF
Lewis Orford,7.3488903,8.766484,1,West Ham,MF
Liam Delap,0.379826,8.5977545,2,Ipswich Town,FW
Lisandro Martínez,3.0123866,4.7938433,0,Manchester Utd,DF
Lloyd Kelly,5.806098,8.39237,1,Newcastle Utd,DF
Lucas Bergvall,4.22517,7.293265,1,Tottenham,MF
Lucas Digne,1.4904596,5.6654525,0,Aston Villa,DF
Lucas Paquetá,0.96333015,5.7453003,0,West Ham,"MF,FW"
Luis Díaz,-0.02704707,8.060214,2,Liverpool,FW
Luis Guilherme,6.613744,9.683235,1,West Ham,"MF,FW"
Luis Sinisterra,3.4724069,8.84127,1,Bournemouth,"FW,MF"
Luke Shaw,6.136867,6.726164,1,Manchester Utd,DF
Luke Thomas,3.956741,6.1591096,1,Leicester City,DF
Luke Woolfenden,4.1534047,6.132479,1,Ipswich Town,DF
Mads Hermansen,9.697848,6.3433166,1,Leicester City,GK
Mads Roerslev,3.931482,6.705306,1,Brentford,DF
Malo Gusto,1.9346137,5.475145,0,Chelsea,DF
Manuel Akanji,3.3371892,4.001083,0,Manchester City,DF
Manuel Ugarte,2.8663526,6.0431175,0,Manchester Utd,MF
Marc Cucurella,1.5278643,4.4389877,0,Chelsea,DF
Marc Guiu,7.1340427,8.993183,1,Chelsea,FW
Marc Guéhi,2.49672,3.521987,0,Crystal Palace,DF
Marco Asensio,4.2623816,8.634293,2,Aston Villa,MF
Marcos Senesi,3.9336486,5.777383,1,Bournemouth,DF
Marcus Harness,6.436563,8.282933,1,Ipswich Town,MF
Marcus Rashford,3.0425332,8.830362,2,Manchester Utd,"FW,MF"
Marcus Tavernier,0.23928922,6.7851577,2,Bournemouth,"FW,MF"
Mario Lemina,2.9001026,5.231236,0,Wolves,"MF,DF"
Mark Flekken,9.998597,6.0994477,0,Brentford,GK
Mark Travers,8.047423,7.368049,1,Bournemouth,GK
Marshall Munetsi,3.0526137,8.954723,1,Wolves,"MF,FW"
Martial Godo,6.179722,9.674025,1,Fulham,"FW,DF"
Martin Dúbravka,7.8350587,6.6468453,1,Newcastle Utd,GK
Martin Ødegaard,0.08734771,6.721323,2,Arsenal,MF
Mason Holgate,6.8964663,7.931184,1,Everton,"FW,DF"
Mason Mount,3.1372783,9.022047,1,Manchester Utd,MF
Massimo Luongo,6.4308543,6.5633907,1,Ipswich Town,MF
Mateo Kovačić,1.5890366,4.9296966,0,Manchester City,MF
Mateus Fernandes,0.5268047,5.6108365,0,Southampton,MF
Mateus Mane,6.803935,7.5744705,1,Wolves,MF
Matheus Cunha,-0.23958467,7.085422,2,Wolves,"MF,FW"
Matheus França,3.9564433,9.351994,1,Crystal Palace,"MF,FW"
Matheus Nunes,2.0985107,6.247408,0,Manchester City,"DF,MF"
Mathias Jensen,4.4020047,6.865592,1,Brentford,MF
Mathis Amougou,7.4971547,9.341971,1,Chelsea,MF
Mathys Tel,3.2883625,7.760268,2,Tottenham,FW
Mats Wieffer,2.9748137,6.1978874,0,Brighton,"DF,MF"
Matt Doherty,3.3582413,4.310836,0,Wolves,DF
Matt O'Riley,3.245143,7.734445,2,Brighton,MF
Matt Targett,6.785386,6.9757276,1,Newcastle Utd,DF
Matthijs de Ligt,3.123882,4.2082357,0,Manchester Utd,DF
Matty Cash,2.4742632,4.905957,0,Aston Villa,DF
Matz Sels,9.873166,6.355721,0,Nott'ham Forest,GK
Max Aarons,6.5326643,8.88081,1,Bournemouth,DF
Max Kilman,2.6668315,3.594644,0,West Ham,DF
Maxence Lacroix,2.7438197,3.6681523,0,Crystal Palace,DF
Maxwel Cornet,6.4743414,8.436792,1,Southampton,FW
Michael Golding,7.585433,8.924199,1,Leicester City,MF
Michael Kayode,5.569517,8.3913145,1,Brentford,DF
Michael Keane,5.333474,6.598525,1,Everton,DF
Michail Antonio,4.5659046,8.658911,1,West Ham,FW
Micky van de Ven,4.0956464,6.1787834,1,Tottenham,DF
Miguel Almirón,5.160381,9.017139,1,Newcastle Utd,FW
Mikel Merino,1.8206735,8.734757,2,Arsenal,"MF,FW"
Mikey Moore,5.73148,8.527301,1,Tottenham,FW
