,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
528,Lesley Ugochukwu,fr FRA,MF,Southampton,20,2004,18.4,24,1.3,20,0,1,1,2,0,1,0.05,0,0,0,1,0,0,Matches
529,Enes Ünal,tr TUR,"FW,MF",Bournemouth,27,1997,3.8,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0,Matches
530,Hákon Valdimarsson,is ISL,GK,Brentford,22,2001,1.6,2,1.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
531,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37,48,1.3,41,0,1,3,1,2,4,0.11,4,0,0,0,0,0,Matches
532,Jamie Vardy,eng ENG,FW,Leicester City,37,1987,31.4,47,1.5,33,0,6,2,6,0,10,0.32,5,0,2,1,2,0,Matches
533,Renato Veiga,pt POR,"DF,MF",Chelsea,21,2003,2,1,0.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
534,Joël Veltman,nl NED,DF,Brighton,32,1992,18.9,23,1.22,16,2,2,1,2,0,2,0.11,1,1,0,0,0,0,Matches
535,Micky van de Ven,nl NED,DF,Tottenham,23,2001,11.3,11,0.98,8,0,0,2,1,0,2,0.18,2,0,0,0,0,0,Matches
536,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,5,0.14,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
537,Jannik Vestergaard,dk DEN,DF,Leicester City,31,1992,15.5,7,0.45,6,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
538,Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,24,4,0.17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
539,Carlos Vinícius,br BRA,"MF,FW",Fulham,29,1995,0.2,2,11.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Matches
540,Kyle Walker,eng ENG,DF,Manchester City,34,1990,10.8,17,1.58,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
541,Kyle Walker-Peters,eng ENG,DF,Southampton,27,1997,32.4,63,1.94,40,3,10,5,3,2,7,0.22,5,0,1,1,0,0,Matches
542,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,2,0.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
543,Aaron Wan-Bissaka,cd COD,DF,West Ham,26,1997,35,93,2.65,75,4,7,3,2,2,10,0.29,9,0,0,1,0,0,Matches
544,Danny Ward,wls WAL,GK,Leicester City,31,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
545,Joel Ward,eng ENG,DF,Crystal Palace,34,1989,0.8,1,1.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
546,James Ward-Prowse,eng ENG,MF,West Ham,29,1994,11.5,34,2.95,19,11,0,3,0,1,1,0.09,0,1,0,0,0,0,Matches
547,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,29,1994,4.4,10,2.25,6,4,0,0,0,0,2,0.45,1,1,0,0,0,0,Matches
548,Ollie Watkins,eng ENG,FW,Aston Villa,28,1995,28.9,53,1.84,36,0,4,7,6,0,12,0.42,8,0,1,1,2,0,Matches
549,Adam Webster,eng ENG,DF,Brighton,29,1995,9.9,14,1.42,10,2,0,2,0,0,4,0.41,2,1,0,1,0,0,Matches
550,Danny Welbeck,eng ENG,FW,Brighton,33,1990,23.5,53,2.26,39,1,3,4,6,0,8,0.34,7,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
551,Welington,br BRA,DF,Southampton,23,2001,5.4,7,1.31,6,1,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
552,Timo Werner,de GER,"FW,MF",Tottenham,28,1996,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0,Matches
553,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,14.6,59,4.03,45,11,0,2,0,1,6,0.41,4,2,0,0,0,0,Matches
554,Ben White,eng ENG,DF,Arsenal,26,1997,13.3,23,1.73,22,1,0,0,0,0,2,0.15,2,0,0,0,0,0,Matches
555,Mats Wieffer,nl NED,"DF,MF",Brighton,24,1999,11.3,32,2.83,28,0,0,2,2,0,6,0.53,5,0,0,0,1,0,Matches
556,Neco Williams,wls WAL,DF,Nott'ham Forest,23,2001,28.8,51,1.77,37,6,0,5,3,0,6,0.21,4,1,0,1,0,0,Matches
557,Willian,br BRA,"FW,MF",Fulham,35,1988,2.9,17,5.93,11,4,0,2,0,0,0,0,0,0,0,0,0,0,Matches
558,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,24,1999,12.1,45,3.73,36,0,3,3,1,2,4,0.33,4,0,0,0,0,0,Matches
559,Callum Wilson,eng ENG,FW,Newcastle Utd,32,1992,4.1,10,2.43,7,0,0,1,1,1,0,0,0,0,0,0,0,0,Matches
560,Harry Wilson,wls WAL,"FW,MF",Fulham,27,1997,12.9,44,3.41,30,6,0,5,2,1,3,0.23,2,0,0,0,1,0,Matches
561,Harry Winks,eng ENG,MF,Leicester City,28,1996,17.1,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0,Matches
562,Ben Winterburn,eng ENG,"MF,FW",Bournemouth,19,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
563,Yoane Wissa,cd COD,FW,Brentford,27,1996,32.4,69,2.13,40,1,4,13,10,1,10,0.31,8,0,0,1,1,0,Matches
564,Chris Wood,nz NZL,FW,Nott'ham Forest,32,1991,32.9,44,1.34,36,0,2,4,0,2,5,0.15,4,0,0,0,0,1,Matches
565,Nathan Wood-Gordon,eng ENG,DF,Southampton,22,2002,8.6,3,0.35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
566,Luke Woolfenden,eng ENG,DF,Ipswich Town,25,1998,13.2,2,0.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
567,Yehor Yarmoliuk,ua UKR,MF,Brentford,20,2004,16.1,26,1.62,21,0,2,1,1,1,2,0.12,2,0,0,0,0,0,Matches
568,Ryan Yates,eng ENG,MF,Nott'ham Forest,26,1997,21.3,38,1.78,26,1,1,6,2,2,3,0.14,2,0,0,1,0,0,Matches
569,Leny Yoro,fr FRA,DF,Manchester Utd,18,2005,12.9,9,0.7,6,0,0,2,0,1,0,0,0,0,0,0,0,0,Matches
570,Ashley Young,eng ENG,DF,Everton,39,1985,20.8,47,2.25,34,8,0,1,2,2,6,0.29,4,0,0,1,0,1,Matches
571,Illia Zabarnyi,ua UKR,DF,Bournemouth,21,2002,34.5,29,0.84,26,1,0,0,0,2,1,0.03,1,0,0,0,0,0,Matches
572,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,27,1996,5.9,22,3.76,17,1,1,2,1,0,2,0.34,2,0,0,0,0,0,Matches
573,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23,2001,15.6,31,1.99,28,0,0,2,1,0,3,0.19,1,0,0,1,1,0,Matches
574,Martin Ødegaard,no NOR,MF,Arsenal,25,1998,25.8,124,4.8,101,13,3,5,2,0,18,0.7,14,2,1,1,0,0,Matches
