,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
550,Danny Welbeck,eng ENG,FW,Brighton,33,1990,30,24,"2,115",23.5,10,4,14,9,1,1,5,0,9.6,8.8,1.4,10.1,21,47,95,0.43,0.17,0.6,0.38,0.55,0.41,0.06,0.46,0.37,0.43,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
551,Welington,br BRA,DF,Southampton,23,2001,10,6,482,5.4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,5,11,19,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
552,Timo Werner,de GER,"FW,MF",Tottenham,28,1996,18,4,516,5.7,0,3,3,0,0,0,0,0,1,1,2.5,3.5,42,30,89,0,0.52,0.52,0,0.52,0.17,0.44,0.61,0.17,0.61,Matches
553,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,20,16,"1,318",14.6,0,2,2,0,0,0,2,0,0.4,0.4,3,3.4,14,107,11,0,0.14,0.14,0,0.14,0.03,0.21,0.23,0.03,0.23,Matches
554,Ben White,eng ENG,DF,Arsenal,26,1997,17,13,"1,198",13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0,0.15,0.15,0,0.15,0.03,0.1,0.14,0.03,0.14,Matches
555,Mats Wieffer,nl NED,"DF,MF",Brighton,24,1999,25,10,"1,015",11.3,1,3,4,1,0,0,6,0,0.8,0.8,1.6,2.4,18,62,23,0.09,0.27,0.35,0.09,0.35,0.07,0.14,0.21,0.07,0.21,Matches
556,Neco Williams,wls WAL,DF,Nott'ham Forest,23,2001,35,28,"2,594",28.8,1,3,4,1,0,0,7,0,2.3,2.3,1.6,3.9,68,89,103,0.03,0.1,0.14,0.03,0.14,0.08,0.05,0.13,0.08,0.13,Matches
557,Willian,br BRA,"FW,MF",Fulham,35,1988,10,2,257,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,11,40,33,0,0,0,0,0,0.1,0.18,0.28,0.1,0.28,Matches
558,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,24,1999,32,11,"1,086",12.1,0,2,2,0,0,0,4,0,1.6,1.6,2.1,3.8,38,41,86,0,0.17,0.17,0,0.17,0.14,0.18,0.31,0.14,0.31,Matches
559,Callum Wilson,eng ENG,FW,Newcastle Utd,32,1992,18,2,370,4.1,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,4,17,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,Matches
560,Harry Wilson,wls WAL,"FW,MF",Fulham,27,1997,25,12,"1,162",12.9,6,1,7,6,0,0,2,0,4.2,4.2,1.1,5.3,22,51,96,0.46,0.08,0.54,0.46,0.54,0.33,0.09,0.41,0.33,0.41,Matches
561,Harry Winks,eng ENG,MF,Leicester City,28,1996,22,17,"1,538",17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0,0.12,0.12,0,0.12,0.01,0.07,0.09,0.01,0.09,Matches
562,Ben Winterburn,eng ENG,"MF,FW",Bournemouth,19,2004,4,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Matches
563,Yoane Wissa,cd COD,FW,Brentford,27,1996,35,34,"2,919",32.4,19,4,23,19,0,0,5,0,18.5,18.5,2.6,21.1,60,67,154,0.59,0.12,0.71,0.59,0.71,0.57,0.08,0.65,0.57,0.65,Matches
564,Chris Wood,nz NZL,FW,Nott'ham Forest,32,1991,36,35,"2,959",32.9,20,3,23,17,3,3,1,0,13.4,11,2.6,13.6,14,42,94,0.61,0.09,0.7,0.52,0.61,0.41,0.08,0.49,0.34,0.42,Matches
565,Nathan Wood-Gordon,eng ENG,DF,Southampton,22,2002,11,9,773,8.6,0,0,0,0,0,0,2,0,0.2,0.2,0,0.3,2,17,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
566,Luke Woolfenden,eng ENG,DF,Ipswich Town,25,1998,15,12,"1,187",13.2,0,0,0,0,0,0,2,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,Matches
567,Yehor Yarmoliuk,ua UKR,MF,Brentford,20,2004,31,15,"1,450",16.1,0,0,0,0,0,0,6,0,0.6,0.6,0.9,1.5,15,63,47,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Matches
568,Ryan Yates,eng ENG,MF,Nott'ham Forest,26,1997,35,18,"1,915",21.3,2,1,3,2,0,0,10,0,2.3,2.3,1.2,3.5,18,53,16,0.09,0.05,0.14,0.09,0.14,0.11,0.05,0.16,0.11,0.16,Matches
569,Leny Yoro,fr FRA,DF,Manchester Utd,18,2005,21,12,"1,165",12.9,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches
570,Ashley Young,eng ENG,DF,Everton,39,1985,32,19,"1,875",20.8,1,3,4,1,0,0,7,1,0.3,0.3,2.3,2.6,24,90,32,0.05,0.14,0.19,0.05,0.19,0.01,0.11,0.12,0.01,0.12,Matches
571,Illia Zabarnyi,ua UKR,DF,Bournemouth,21,2002,36,35,"3,109",34.5,0,1,1,0,0,0,4,1,1.3,1.3,0.7,2,27,140,4,0,0.03,0.03,0,0.03,0.04,0.02,0.06,0.04,0.06,Matches
572,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,27,1996,15,5,527,5.9,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.8,10,48,14,0,0.17,0.17,0,0.17,0.11,0.03,0.14,0.11,0.14,Matches
573,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23,2001,32,14,"1,402",15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.1,0.41,0.31,0.41,Matches
574,Martin Ødegaard,no NOR,MF,Arsenal,25,1998,30,26,"2,325",25.8,3,8,11,2,1,1,4,0,4.8,4,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,Matches
